ticker,n_windows,expected_days,actual_days,coverage_pct,on_disk
VMC,1,4096,4088,99.8,True
CCL,1,4096,4088,99.8,True
NTRS,1,4096,4088,99.8,True
DTE,1,4096,4088,99.8,True
KIM,1,4096,4088,99.8,True
MKC,1,4096,4088,99.8,True
CF,1,4096,4088,99.8,True
KBH,1,4096,4088,99.8,True
RSG,1,4096,4088,99.8,True
BAX,1,4096,4088,99.8,True
CMS,1,4096,4088,99.8,True
MET,1,4096,4088,99.8,True
HON,1,4096,4088,99.8,True
WDC,1,4096,4088,99.8,True
EFX,1,4096,4088,99.8,True
CNC,1,2538,2533,99.8,True
ADBE,1,4096,4088,99.8,True
LOW,1,4096,4088,99.8,True
MBI,1,4096,4088,99.8,True
CTAS,1,4096,4088,99.8,True
DGX,1,4096,4088,99.8,True
GD,1,4096,4088,99.8,True
HRL,1,4096,4088,99.8,True
CPB,1,4096,4088,99.8,True
CME,1,4096,4088,99.8,True
MA,2,4094,4086,99.8,True
ADI,1,4096,4088,99.8,True
GPC,1,4096,4088,99.8,True
WY,1,4096,4088,99.8,True
FDX,1,4096,4088,99.8,True
HAL,1,4096,4088,99.8,True
WEC,1,4096,4088,99.8,True
AEP,1,4096,4088,99.8,True
MCO,1,4096,4088,99.8,True
CHRW,1,4096,4088,99.8,True
HUM,1,4096,4088,99.8,True
CMCSA,1,4096,4088,99.8,True
DUK,1,4096,4088,99.8,True
APD,1,4096,4088,99.8,True
CLX,1,4096,4088,99.8,True
PPG,1,4096,4088,99.8,True
NYT,1,4096,4088,99.8,True
TROW,1,4096,4088,99.8,True
ISRG,1,4096,4088,99.8,True
BDX,1,4096,4088,99.8,True
MAR,1,4096,4088,99.8,True
NUE,1,4096,4088,99.8,True
PG,1,4096,4088,99.8,True
PFG,1,4096,4088,99.8,True
MLM,1,2978,2972,99.8,True
DRI,1,4096,4088,99.8,True
MCD,1,4096,4088,99.8,True
VLO,1,4096,4088,99.8,True
DVA,1,4096,4088,99.8,True
GLW,1,4096,4088,99.8,True
FAST,1,4096,4088,99.8,True
LEN,1,4096,4088,99.8,True
WAT,1,4096,4088,99.8,True
RL,1,4096,4088,99.8,True
FCX,1,4096,4088,99.8,True
DE,1,4096,4088,99.8,True
UNP,1,4096,4088,99.8,True
SCHW,1,4096,4088,99.8,True
BEN,1,4096,4088,99.8,True
T,1,4096,4088,99.8,True
MUR,1,4096,4088,99.8,True
MHK,1,3025,3019,99.8,True
KLAC,1,4096,4088,99.8,True
RF,1,4096,4088,99.8,True
NSC,1,4096,4088,99.8,True
BXP,1,4096,4088,99.8,True
BBY,1,4096,4088,99.8,True
GIS,1,4096,4088,99.8,True
ADSK,1,4096,4088,99.8,True
ITW,1,4096,4088,99.8,True
ORLY,1,4096,4088,99.8,True
KEY,1,4096,4088,99.8,True
VZ,1,4096,4088,99.8,True
CSX,1,4096,4088,99.8,True
BIIB,1,4096,4088,99.8,True
EXPE,1,4096,4088,99.8,True
ALL,1,4096,4088,99.8,True
SO,1,4096,4088,99.8,True
EBAY,1,4096,4088,99.8,True
VRSN,1,4096,4088,99.8,True
CI,1,4096,4088,99.8,True
HIG,1,4096,4088,99.8,True
MO,1,4096,4088,99.8,True
CRM,1,4096,4088,99.8,True
MCK,1,4096,4088,99.8,True
SJM,1,4096,4088,99.8,True
IFF,1,4096,4088,99.8,True
PEG,1,4096,4088,99.8,True
SRE,1,4096,4088,99.8,True
BBBY,1,4096,4088,99.8,True
HPQ,1,4096,4088,99.8,True
SNA,1,4096,4088,99.8,True
TMO,1,4096,4088,99.8,True
NEM,1,4096,4088,99.8,True
EQR,1,4096,4088,99.8,True
EL,1,4096,4088,99.8,True
AFL,1,4096,4088,99.8,True
CAH,1,4096,4088,99.8,True
AVY,1,4096,4088,99.8,True
NTAP,1,4096,4088,99.8,True
LH,1,4096,4088,99.8,True
AIZ,1,4096,4088,99.8,True
PRU,1,4096,4088,99.8,True
TRIP,1,2017,2013,99.8,True
TRV,1,4096,4088,99.8,True
HST,1,4096,4088,99.8,True
D,1,4096,4088,99.8,True
A,1,4096,4088,99.8,True
SHW,1,4096,4088,99.8,True
EXPD,1,4096,4088,99.8,True
LMT,1,4096,4088,99.8,True
CL,1,4096,4088,99.8,True
BK,1,4096,4088,99.8,True
KO,1,4096,4088,99.8,True
ETSY,1,1000,998,99.8,True
OMC,1,4096,4088,99.8,True
TJX,1,4096,4088,99.8,True
L,1,4096,4088,99.8,True
UPS,1,4096,4088,99.8,True
HAS,1,4096,4088,99.8,True
HSY,1,4096,4088,99.8,True
ROP,1,4096,4088,99.8,True
SWK,1,4096,4088,99.8,True
PNW,1,4096,4088,99.8,True
INTU,1,4096,4088,99.8,True
SPG,1,4096,4088,99.8,True
PAYX,1,4096,4088,99.8,True
ECL,1,4096,4088,99.8,True
MSFT,1,4096,4088,99.8,True
MU,1,4096,4088,99.8,True
VTR,1,4096,4088,99.8,True
STT,1,4096,4088,99.8,True
PH,1,4096,4088,99.8,True
AZO,1,4096,4088,99.8,True
